"name","crc","md5","sha1"
"Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced).gb","6A6ECFEC","19FD29EFAF7EA9E314BD613954A92169","739671D6CF151FA5527D68F78345197D278CDF19"
"Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced).gb","1C829CE3","211A15218FA66E4A09BC253AE064991C","6B046CA1E15E6CECB29E086A5B23EB0019419936"
"Arcade Classics - Battlezone & Super Breakout (USA, Europe) (SGB Enhanced).gb","6C292739","E1B89445B1E8992D93319C52D4D7CA3B","7D78B06AD896FB949E28858D141F73A37C550FE2"
"Aretha (Japan).gb","1DB65649","9C23D37D51A593E82378DAD038A52EF2","EAB8F13D110634F4EE750AC93E4F25D91A85000F"
"Aretha II (Japan).gb","086E4FC5","A3059206EF517091A475249CE6C0DB4F","5634A05EA8E93AF3DD0E41823576BF6295F8DF1F"
"Aretha III (Japan).gb","430D3D6B","BB0CCA048A51DDBAE426221BB3D2E508","F57FF26D31283C88CC4C414B18EF6F182D07DA9D"
"Asmik-kun World 2 (Japan).gb","CAAE6B11","24DB7B8D9080B1626DD949331AC40ACA","4C738153A5C9F861117CC23CFEDF2C37672E1097"
"Asterix (Europe) (En,Fr,De,Es,It).gb","097FFE2C","812DB832566202610BB1E42E643E2B93","7D4CA6925826C0FFCA3E3004479B5E9A5B6B311B"
"Asterix & Obelix (Spain) (En,Es) (SGB Enhanced).gb","B1FD41D0","CF5BE6D9C263D02039BFAAE93C1BD32C","B6CD446962357D0F560A5C9FAE4C917E039FBB77"
"Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced).gb","5143E227","5354465291244E5A035807C2666D185E","EBC68B180680C7037B151B9A1B511B681499BA30"
"Asteroids (USA, Europe).gb","C1F88833","13749826DF12DA4574E34CCB6D9C780D","435DBDAA9B9D2E0D0BC7C1C010CDC5EC9BD9F359"
"Astro Rabby (Japan).gb","61E48EEF","5A88B67ED5475E591747BC7956642456","3E53FD25F350C78A29E0642EE6DE80208930D469"
"Atomic Punk (USA).gb","C4720897","76010C6FF6BD0C4E8AC934DC69FB96AB","4B364B4C12B83AB7ADBEC074FAC951E2EB63DEA8"
"Attack of the Killer Tomatoes (Japan).gb","23068679","BA556891321DBBC8DCE857CA2CF7D417","96CD454513DFB363CDA20BF0E72C6D74132A9487"
"Attack of the Killer Tomatoes (USA, Europe).gb","B5B38860","3910CE6B44B689A06889693771DED6DC","CBBBA5D4F80F2B4AB3E882CEB4F79C293A17904F"
"Avenging Spirit (USA, Europe).gb","CF2BA5F7","E88EAB57AB4614966748280BF3C97F52","D22CCA80A0855D7724539EF71F38E3F8F9656D6B"
"Ayakashi no Shiro (Japan).gb","DA90F5FC","8F3095C4D98694F19270D8C2788D5E46","DAD3EC1A054CBD092EEDFDB1D742B811C105181A"
"B.C. Kid (Europe).gb","373343E6","D335D4D79ED002C7A67863E82CEAA472","B91F99408E4A6B69D505F304C176434321F837E7"
"B.C. Kid 2 (Europe) (SGB Enhanced).gb","C28EF062","2A2AE531B2CEBD995508707B0E82B1B1","952A14298DCDE28975F2CDD61F781000AFB53125"
"Baby T-Rex (Europe).gb","3F73FE7A","B9DF0BB1F84333A1E5AB4AF563525CDC","30042C3FC60DF0DA25FA3DB3955A2E4657C1CCCF"
"Bakenou TV '94 (Japan) (SGB Enhanced).gb","D1C3F371","302F773A39FE0E45756B050EE94F0918","C567BDD1CA17750C853019F244E208FE812772FD"
"Bakenou V3 (Japan).gb","4E2FFFE5","614C8E744C8F07C6E3B29480478600D4","B1BF86F4FFB9AF9C5F1C592F0CABEDB95B405437"
"Bakuchou Retrieve Master (Japan) (SGB Enhanced).gb","8A546DEC","7D775680308FC232D1C6547124BAB089","BFEA17B22B3AC91366156D8DB1A7DC619C7B5A28"
"Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced).gb","AB3477C4","7864D91F0A7CA1EEC93667BA88EC1DFC","53808F56FA68AD8094D0E4FF62E06887B439BE9A"
"Bakuretsu Senshi Warrior (Japan).gb","ECF1B801","CBF1F4CA2288995C18DF0EF3025C9580","5F4E63796611A1ED72ACD2A5BFE2E2EA3BA5B211"
"Balloon Kid (USA, Europe).gb","D4B655EC","F70C60CA87714FA9D81BE60C9AC93DE0","0CB5ADC9BDEF5320F3F156EFED0D47A618E2299F"
"Bamse (Sweden).gb","1B713DE0","C7697C8DB218BCB35AA37D43E4278376","92C042A1B3B9704736B6D8B19259EFC5110C267D"
"Banishing Racer (Japan).gb","3D13EC6A","8FDFFB08770609255EC3CD314F79F976","DF121645C367D5809ED77BFE48AA537F0D61D276"
"Barbie - Game Girl (USA, Europe).gb","94C26CDF","159C8CA77E153B1CC5FE6D5D82A091C2","6660E4457A1DE3DE1947A90C5EA9FF012D50336E"
"Bart no Survival Camp (Japan).gb","0FD66B1A","0434A1320607CE8E79DE69B10C7A1245","F0D855BBA656B628C7DD9ED9E586853BE75B790F"
"Bart Simpson's Escape from Camp Deadly (USA, Europe).gb","5546A382","E731FA23D9CD0C3D4DEC7D5565BEEF61","89B7B2D4684D703EA5D323E3AAF4910DCDBC47D3"
"Baseball (World).gb","6EEA2526","E7BCB3F5534C8363F855BA92D83CB2D9","BB613ED8D492D49DB35370BEC38D9F2515DC24C9"
"Baseball Kids (Japan).gb","A503CB07","CB62A0DD667FF4FC2F4EBE6F0AEF955F","E4A49A9ECD7A9CE8BB552981E90903F21C741428"
"Bases Loaded for Game Boy (USA).gb","D37A2FDF","C1C084439399DC1541EE555BCABB7700","5220DB2E87622648CAEACDFB8D4F564C9BF479FC"
"Bass Fishing Tatsujin Techou (Japan).gb","7625E5A5","AA6CB8AA7BEE968D77AAE59ACFBDE6D8","503A4CDD6D80CE779BA293022B21F98881AF2AB6"
"Bataille Navale (France) (En,Fr,De,Es).gb","BAB8B727","B91125B6018A0A879E356A32129F5B73","5C5162743546B258CC9C6316F1437137721F5E99"
"Batman - Return of the Joker (Japan).gb","DE459A47","9550FADC917DB38CACD0ECFB694F816C","149586120C3AE9C9614FA6E6A5E298CCEAE16C4D"
"Batman - Return of the Joker (USA, Europe).gb","5124BBEC","97BC907DEBA1E7D7C9BC72FCA0310822","345A332175F58304F91111A13B770662E5EA92C3"
"Batman - The Animated Series (USA, Europe).gb","C8E578BF","AE073C63FF7D151DC2DD406830FBBDC2","4A8C1DD74B1279C0DC85AC2BEBB5DB2795CB67B0"
"Batman - The Video Game (World).gb","6C41D3CD","03C6D84A951BE6703B7458478F4277B9","EF7D6684A0F737C01A1F2CC2C6609E0F3AC1310E"
